,comments,ratings
12,"Sản phẩm rất tốt, kích thước màn hình 6.2 inch vừa phải phù hợp với nhu cầu sử dụng hàng ngày của mình. Exynos mới mượt mà ổn định, camera đẹp, thời lượng pin đủ dùng thoải mái trong ngày (mình không chơi game). ",5
13,"Sản phẩm tốt
Mình có mấy chục group zalo, điện thoại, nhắn tin, 4g cả ngày, 9h tối còn 10% pin.
Chế độ đổi máy của samsung rất hấp dẫn",5
14,"Đt mua ngon chiến game mượt hết chổ chê.chụp ảnh đẹp dung lượng khủng.màn hình lớn
",5
15,Máy tốt mới mua hôm tết giờ mới lại TGDD đổi lại máy mới đó bị lôi camera.vao chế độ chụp đêm là xanh chanh như vậy..4 sao cho thái độ phục vụ của nv đmx.,4
16,"Mua ở ĐMX 1174 đường láng đc 3 hôm. M đã nghịch hết tầm, pin đủ sức dùng cả ngày vs 4G, sạc nhanh bá đạo đúng chất của Oppo. Bật tất cả ứng dụng chạy vẫn mượt. Đầu tiên nghe qc ko loa kép thấy hơi nản nhưng xài mới thấy nó chất lượng. Nghe to rõ, âm thanh chắc nịch. Đặc biệt cái tai nghe của Oppo, xịn sò thật luôn. Nói chung mọi thứ đều tuyệt do vs tiền bỏ ra.
Cảm ơn em nv Vân Anh chu đáo, nhiệt tình tiếp anh.
Sẽ giới thiệu cho ng thân và bạn bè.",5
17,"Mua ở ĐMX 1174 đường láng đc 3 hôm. M đã nghịch hết tầm, pin đủ sức dùng cả ngày vs 4G, sạc nhanh bá đạo đúng chất của Oppo. Bật tất cả ứng dụng chạy vẫn mượt. Đầu tiên nghe qc ko loa kép thấy hơi nản nhưng xài mới thấy nó chất lượng. Nghe to rõ, âm thanh chắc nịch. Đặc biệt cái tai nghe của Oppo, xịn sò thật luôn. Nói chung mọi thứ đều tuyệt do vs tiền bỏ ra.
Cảm ơn em nv Vân Anh chu đáo, nhiệt tình tiếp anh.
Sẽ giới thiệu cho ng thân và bạn bè.",5
18,"Mua máy này cho chồng, máy mỏng nhẹ, nói chung đã trải nghiệm 3 ngày và thấy rất OK, quà tặng kèm có loa nghe nhạc rất hay và hẹn giờ thuận tiện, mình cũng đặt làm đèn ngủ ở trong phòng luôn
Cám ơn các bạn nhân viên Thế giới di dộng 57 Bà Triệu, Huế nhé!",5
19,Sao điện thoại mình trên camera không có tách màu chủ thể xanh đỏ vậy nên đem dien thoại kiểm tra lại không a ,4
20,"Máy rất tốt ko uổng thời gian chờ đợi.camera đẹp.sản phẩm rất đáng mua......,....",5
21,Mình vừa mới mua máy siêu đẹp chụp hình bảo sáng và nét nhân viên giao máy nhiệt tình,5
22,"Sài gần 1 tháng khá ok, nhưng sài messenger hơi khó với đt nhanh hết pin mặt dù k sài những lúc đang làm",4
23,"Đúng đc 1 tuần 
Trc thì a93  thì ra kêu android mới hay bin 
Bh reno5 cung thế .  Chả biết sao ",1
24,"Đúng đc 1 tuần 
Trc thì a93  thì ra kêu android mới hay bin 
Bh reno5 cung thế .  Chả biết sao ",1
25,"Nói chung sau khi xài đc nữa tháng thì thấy oke thiết kế đẹp hiện đại sang trọng , mà có điểm trừ mà tôi không thích đó là mỗi lần tải game về thì chẳng có cái files nào trong bộ lưu trữ cả , nên xem lại phiên bản Android 11 và có thể khắc phục tình trạng này sớm hơn , tôi chỉ góp ý nhiêu đó còn lại thì OK không có chỗ chê... Mong shop xem lại và khắc phục lỗi này sớm hơn ạ , xin cảm ơn..!",5
26,"    Sản phẩm tốt , chụp hình đẹp. máy dùng mượt mà rất êm nhân viên tư vấn nhiệt tinh.máy này dùng rất thích

 Sẽ giới thiệu sản phẩm này cho bạn bè, người thân",5
27,Sau 1 tháng mình xài trải nghiệm. Máy rất mượt ko lag giật màn hình đẹp tần số 90hz quá mượt. Camera siêu đẹp siêu đỉnh. mình chơi lq max cấu hình phải nói nó ko làm mình thất vọng. Đặc biệt là máy ko nóng ko hao pin nhiều tuyệt vời thật.youtube xem sướng con mắt . Các bạn để qua đêm hãy tắt hết ứng dụng chạy ngầm máy auto tiết kiệm pin ban đêm. Giật 3% pin là cùng. Tuyệt vời đáng đồng tiền bát gạo. Thơm ngon bổ rẻ,5
28,Dùng được mấy hôm rồi thấy máy ok k sao cả sản phẩm này mình thích nhất sạc nhanh.pin cũng trâu dùng vô tư,5
29,"Mới mua xài được tầm 1 tuần nên ngoi lên đánh giá. Máy nhanh, nhạy, lướt rất đã. Cam thường no makeup vẫn cho ra lò những bức ảnh siêu đỉnh, tự động makeup nhẹ nhàng. Nói chung là mọi thứ đều tốt, xem video full hd+ sắc nét, hi vọng về là về lâu dài vẫn tốt như hiện tại 👍👍👍",5
30,Mình cảm thấy điện thoại này cũng rất tốt. Wifi để qua đêm mà k bị tụt pin nhìu từ 10h tới 5h sáng tụt 2%pin .thích nhất công nghệ sạc nhanh vs cả chụp hình đẹp nữa. .mọi người nên mua,5
31,"Sau 2 tuần sử dụng thì mình cảm thấy ổn chưa thực sự tốt như mình đợi vì một số lí do như sau:
- Khi sử dụng một số ứng dụng mạng xã hội thì hay tự động thoát ra màn hình chính cảm thấy rất phiền. Ngay cả khi mình đang gõ những dòng này cũng đã rất chật vật bị out ra rất nhiều lần luôn ý. 
- Mặc dù sạc pin nhanh nhưng lại rất hay tụt pin và nóng máy. 
Với những khuyết điểm như thế này, mình rất mong bên bộ phận CSKH sẽ liên hệ để tìm cách khắc phục nhé!
Về việc có giới thiệu cho bạn bè hay không thì mình nghĩ cần phải xem lại các lỗi đó có được khắc phục tốt hơn hay không.
Thân ái và mong nhận được phản hồi!",3
32,Máy tốt mới mua hôm tết giờ mới lại TGDD đổi lại máy mới đó bị lôi camera.vao chế độ chụp đêm là xanh chanh như vậy..4 sao cho thái độ phục vụ của nv đmx.,4
33,"Ai mua Oppo reno5 mình Sài rất tốt, đêm đến sáng để wifi , Bluetooth nhưng chỉ tụt 2%pin thôi từ 22h đến 5h sáng. Nên chọn dòng này tốt, mình chơi game không hao pin nhiều như những dòng khác",5
34,Phím âm lượng thinh thoảng bị liệt . Mic lúc được lúc ko .camera lúc mới mở lên thì giật . Bên mình có hỗ trợ cho mình được ko ạ . Mong phản hồi,3
35,Máy mới mà dùng tụt pin nhah quá trời.ko pit vê sau như nào.bù lại được cái xạc nhah,1
36,"Sản phẩm nhiều lỗi quá, khi thì liệt nút âm lượng, khi thì liệt phím điều hướng, đổi trả 2 lần r vẫn vậy, lần đầu thất vọng về oppo như v",1
37,Đt Oppo reno5 tầm 8triệu 6 mới mua đc 1 tháng đánh giá cũa mình rất tệ ai muốn mua dòng máy này suy nghĩ lại đi 11h đêm đến 7h sáng hôm sau mất 15%pin đóng hồ ứng dụng k mạng dd wifi,3
38,"Chế độ đêm chụp vào buổi tối khi chưa bật chế độ giá đỡ... Thì chụp ra hình ảnh màu xanh lá hết 8/10 bức ảnh .. trong khi ban ngày chụp thì vẫn bình thường các chế độ chụp khác vẫn điều bình thường cả 
Thì nó bị lỗi camera hay như thế nào ạ ",5
39,"Dùng 3-4 ngày rồi ok lắm, thấy mọi người bảo pin tụt nhanh qua đêm mình thấy tụt có 2-5% chứ mấy, cá nhân thấy ổn trong tầm giá",5
40,Mọi thứ điều tuyệt vời chỉ mỗi pin để từ đem đến sáng ko ứng dụng chạy ngầm mà tụt khoản 10-12% pin,3
41,Mọi thứ điều rất tôt. Ngoại trừ camera hoạt động ko ổn định. Hay bị giật lắc lúc mới mở. Và thỉnh thoảng lúc đang xử dụng. Ko bít có ai bị như mình ko?,4
42,"Điện thoại mới mua chưa được nữa tháng nữa mà pin hụt dữ quá
Tối ngủ mình tắt hết các ứng dụng ngầm mà vẫn hụt pin
Sáng thức dậy tụt hết tầm 10_12 phần trăm
pin",3
43,Máy đẹp bền so với giá sd mượt chơi game OK với lại pin cũng bền . Thích sạc nhanh của máy sạc chưa đầy 1 tiếng đã đầy . Luôn ủng hộ Oppo ,5
44,"Mình sd được 3 ngày rồi phải nói là quá tốt trong tầm giá, mình không phải game thủ nhưng chơi liên quân vẫn rất mượt, pin tốt và sạc siêu nhanh, màn hình tươi, sáng đẹp.  ",5
45,Hàng quá oki rất ưng đúng là dòng oppo có khác :3 :3 lúc đầu mình cũng hơi lo sợ bị dính vài lỗi vặt nhưng khi mua về tes thì k xảy ra vấn đề :3 :3,5
46,"Sạc pin nhanh, máy mượt có điều về phần camera ko được đánh giá tốt nhất. Kiểu nếu chụp trong tối vẫn thấy nhiễu hạt.",5
47,"Mới mua được hơn 10 ngày. Camera tuyệt vời, cảm ứng điện thoại rất mượt, nhưng sao pin tụt nhanh quá, để qua đêm không  dùng vẫn tụt pin mặc dù mình đã tắt hết các phần mềm chạy nền, nói chung không  sài gì cả. Xem phim mượt mà nhưng pin tụt nhanh quá. Mình có đến điện máy xanh gần nhà bạn ở đó nói test máy mới cũng vậy. Tại máy mình hay dòng máy này là vậy? có thể khắc phục không vậy? Thật không hài lòng về pin quá. ",4
48,"Máy sử dụng rất oke, thiết kế đẹp, chụp ảnh thì khỏi phải chê gì cả, sạc pin thì nhanh nửa, mình mua màu đen khá là thích. ",5
49,"Sau trải nghiệm 1 lúc thì mình đã xuống tiền lấy em ấy. Cảm nhận ban đầu là quá mượt, camera quá nhiều tính năng chụp ảnh và quay video nét căng chống rung tốt. Pin nhiều người nói yếu chứ mình thấy dư dùng 1 ngày đối với mình nhưng sạc quá nhanh tầm hơn 30p là gần đầy rồi. ",5
50,"Mới mua tối mùng 6 tại cửa hàng gần công viên 23/9 sau 1 ngày trải nghiệm theo mình đt này rất ổn , khi chuẩn bị mua đã đọc những đánh giá của các bạn về pin , nhưng sau khi trải nghiệm mình thấy pin rất ok để qua đêm cũng chỉ mất 1% , mà sạc cực nhanh . ",5
51,"Tôi mới mua Oppo reno5 được nửa tháng mà pin tụt nhanh quá,tối không sự dụng gì sáng ngủ dậy mất 10% pin",3
52,Chụp hình ok game mượt pin sài 1 ngày sạt cực nhanh nhưng lưu ý m.n sài đừng bỏ túi quần sp này quá mền bỏ túi sẽ bị công 😌😌,3
53,Quá tuyết vời xài bao êm trong phân khuc giá hiện nay chơi game lẫn chụp hình đêu mượt mà,5
54,Sp xài khá tốt ms mua thì zô Messenger hay bị đơ r tự tắt nguồn nhưng khởi động lại thì ok r cảm ơn nhân viên tgdd sông cầu Phú Yên tư vấn nhiệt tình và chu đáo ,5
55,"Mới trải nghiệm 1 ngày, Oppo chụp hình thì k chê rồi, nhưng pin tụt nhanh nha, hơi thất vọng dù đc kết hợp sạc nhanh. Còn lại thì chờ sd mới biết dc ",4
56,"Máy khá mượt, hình ảnh nét. Nhưng pin tuột nhanh quá ạ, dù em không sử dụng không mở mạng mà pin cũng bị hụt khá nhiều",4
57,"Đã mua và rất ưng máy,lúc nào cũng trung thành với oppo. Không có gì phải phàn nàn về con máy này,xứng đáng đồng tiền bát gạo !",5
58,"Em để qua đêm dù không mở mạng vẫn hao pin quâ, không biết có cách nào khắc phục không, còn lại mọi thứ đều ổn, mong nhận được sự hổ trợ ạ",4
59,"Hiện tại máy em bị vỡ màn hình, và cảm ứng không được, mở máy không lên màn hình, nhưng loa và chip vẫn hoạt động bình thường v có thể dùng gói bảo hiểm rơi vỡ ko ạ?",4
60,Khuyên thật anh em đã mất tiền chục rồi thì cố bỏ ra thêm vài củ nữa mua lấy con khác mà dùng chứ reno5 này pin tụt k phanh luôn .ai có ý định mua về chiến game thì nghỉ đi ,5
61,Mình mới mua thấy dùng tốt pin ổn hình ảnh rất nét. Thích nhất là khả năng sạc nhanh của máy quá là nhanh luôn. Sáng ngủ dậy cắm có 15' mà đã đủ đi làm cả ngày rồi. Hơn 8 củ 1 em máy thế này là ổn rồi.,5
62,"Mua đc ba ngày ở thế giới Di Động máy máy êm mượt ok, pin mau tụt rất mau hết ,camera OK , nghe gọi OK nhân viên tư vấn nhiệt tình và dễ chịu ♥️, thanks.♥️",4
63,"Pin xài hết nhanh,để qua đêm thì bị mất hết 15% chơi lâu cũng bị nóng máy
Mặc dù đã cập nhật phiên bản mới nhưng camera lúc hiện tính năng mới lúc lại không hiện
",3
64,Mới mua máy thấy xài êm và mượt xài mấy đời Oppo rồi vẫn thích . Máy xài cực kỳ bền ,5
65,"Máy rất tốt, chỉ có điều sau khi up lên Android 11 thì mất chế độ điều hướng vuốt 3 cạnh nên xài chưa quen, còn lại đều ok, nếu ai ko muốn tụt pin khi để qua đêm thì nên bật chế độ định giờ tự động bật/tắt của máy, đến sáng vẫn ko tụt % nào.",5
66,"Xin chào, mình vừa mua oppo reno 5, nhưng qua vài lần sạc thì mình để ý thấy là khi đang sạc và ko sử dụng đến, thân máy vẫn khá nóng. Như vậy có phải bình thường máy nào dòng này cũng vậy ko ạ?",4
67,"Mình ms mua đc 16 ngày nhưng mình thấy :
Cấu hình ok : chơi game xem video k giật lag dù wifi hơi yếu
Sp dùng dễ nóng máy
Pin hao nhanh
",3
68,"Máy khá đẹp, từ ip 8 plus đổi qua oppo vì thích androi dễ sài hơn, máy sạc nhanh, pin khá trâu, tuy nhiên game liên quân ko dc max seting!",4
69,"Camera tuyệt vời, mọi thứ điều tuyệt,hơi tiếc là sao pin tụt nhanh,wa đêm k dùng vẫn tụt pin, tại máy mình hay dòng máy này là vậy? có thể khắc phục k vậy?",4
70,"Mọi thứ đều tuyệt, mượt, pin ok...mỗi tội mình không thể tắt được cái này, đó là cái trang tin tức của Google trong màn hình chính, ai chỉ cách tắt với",5
71,Máy mới mua 2 ngày dùng thấy OK. Thấy pin để qua đêm ko dùng gì tụt 10% ko pit lỗi gì hay mày nó thế...,1
72,"Sản phẩm quá OK, khá hài lòng với nhân viên ở TGDD Long Hòa, lần đầu tiên mua đt mà 3 nhân viên xinh đẹp ngồi tư vấn :))",5
73,"Nói chung rất OK, sạc nhanh khỏi phải bàn thiết kế thì quá tuyệt vời, có điều khi sạc pin máy bị quá nóng hông biết có sao không vậy.

 Sẽ giới thiệu sản phẩm này cho bạn bè, người thân",5
74,"Sản phẩm tốt, camrae chụp xuất sắc, sạc nhanh, pin cầm, mòng đẹp ❤
Trải nghiệm thấy rất hài lòng 
",5
75,"Mới mua về sài, mà sao tụt pin nhanh quá? Có phải máy nào cũng vậy không hay bị lỗi gì ạ?",4
76,cho mình hỏi là mình có mua một máy reno5 màu bạc cách đây 1 tháng và mình muốn đổi một máy màu đen được không,5
