,0
10,"Mới mua tầm 3 tuần nhưng thấy lỗi về loa rất lớn. Dùng tác vụ trên máy có vẻ hơi đơ dù chip là 720. Bàn phím nhắn thì lâu lâu lại chậm, đã cập nhập lên MI 12 nhưng lỗi vẫn lỗi. Lần mua hàng này chán thật. K biết có được đổi máy mới hay đem ra bảo hành rồi đâu lại vào đấy"
11,"Mua dc 6 tháng sài ok. Mới mua về ae phải update cho máy lên phiên bản mới nhất nha. Chơi game ok kết nối tốt. Ai bảo iphone chơi game loading nhanh thì nên xem lại, đã test với iphone xr game liên quân cùng mạng cùng 1 chỗ 9s loading 100 bên kia 10%🤣 ae nào mua chơi game thì cứ phang 9s thôi. Ae nào kinh tế eo hẹp lau lâu mới mua máy tính mua sài chán bán lại thì iphone mà phang nha. Chơi android bán lại lỗ đấy"
12,"Sản phẩm rất oki sau 1 tuần dùng. Màn hình to dài, chip khỏe như con trâu. Rất ok"
13,"Mua đt được 5 tháng... mình thích màn to nên 6.67' khá thoải mái khi xem phim, loa thì siêu lớn mà lại thêm chế độ làm sạch loa, pin thì quá trâu, Snapdragon thì cân mọi thể loại game với đồ họa trung bình rồi, nhận diện khuôn mặt và vân tay khá nhanh, giá cả lại hợp lý, 3 năm về trước mà con này ra mắt chắc cháy hàng khủng khiếp lắm 😅😅 ❤️ Yêu Xiaomi"
14,"Hàng ngon, mong manh, dễ móp, vỡ, có nhiều lỗi lặt vặt Nhưng là đt tốt trong tầm giá này"
15,"Cho mình hỏi là mình có mua một con note 9s sài đc 5 tháng rồi ,sau khi cập nhật bản mới nhất thì giờ xuất hiện hiện tượng pin tuột xuống 5% rồi tự nhiên nhảy lên lại 50 mấy phần trăm cho hỏi là do phần cứng hay bên phần mềm có xung đột gì ạ , mình fix lại ở nhà được hong ạ hay mình cần ra tgdd để kiểm tra lại không ạ"
16,"Mua cũng lâu rồi.khoảng 7 tháng Mua về 1 tuần máy bị lỗi micr thoại và giắc cắm tai nghe 3.5 Mang đi đổi đc các anh đẹp zai đmx tt mãn đức tân lạc hòa bình tư vấn về micr thoại là do viettel đang nâng cấp lên 5g nên sóng chập chờn trong khi đó mình có dùng 1 máy nữa nhưng không ảnh hưởng gì Còn tai nghe thì bảo do tai nghe bị hư. Tai nghe bị hư tại sao cắm tai nghe nghe dc 1 tai, rút day ra khỏi đt mà máy vẫn còn nhận tai nghe.thế mà bảo tai nghe hư dc Dùng đến bây giờ loa thoại không thể nghe dc mà phải bật loa ngoài.lần đầu tiên mua hàng tầu Thất vọng"
17,Gọi điện thì loa trong k nghe thấy gì. Toàn phải bật loa ngoài liệu trường hợp này e có được đổi máy mới không. Mới mua máy được 2 tuần
18,Mình dùng đc 10 tháng thì cứ để tầm 1 2 tiếng là máy tự nhiên mất sim 1. K nhận sim 1. Giờ muốn bảo hành thì thời gian bảo hành lâu k ạ
19,"Dùng được thời gian nói chung tạm được, tuy nhiên bắt mạng dữ liệu di động kém lúc 4G lúc H+ rồi H tệ hơn nhảy về E nữa"
20,Sau 1 thời gian sử dụng có nhận xét so với giá tiền là hợp lý . Máy pin khoẻ . Cấu hình cao . Sạc nhanh . Màn hình đc full hd+ điểm đáng giá so vs các hãng cùng giá tiền nói chung là ok 👍
21,Cho e hỏi điện thoại này e sạc từ 9% lên 90% pin mà mất hơn 1 tiếng đồng hồ để sạc đc nhiêu đó thì pin như vậy có bình thường ko ạ
22,"Máy pin trâu sạc rất nhanh, đa nhiệm tương đối tốt. Chơi game rất mượt."
23,Nhân Viên TGDĐ Vĩnh Kim Châu Thành Tiền Giang ai cũng thân thiện nhiệt tình dễ thương hỗ trợ và góp ý rất hài lòng vừa mua xong máy quá đẹp đẹp nhất là màu trắng nói chung rất hài lòng TGDĐ... tặng 5* nhé ❤️❤️
24,"Chơi game mượt ,pin trâu, cam đẹp, mấy anh chị nhân viên tư vấn nhiệt tinh nên mua"
25,Có khá nhiều chức năng nổi bật.camera thì quá tuyệt 😘😘 nhân viên tư vấn nhiệt tình
26,Máy xài bị lỗi.ko khác phục duoc.mỡ máy rất lâu vân tay rát chậm.thát vọng.ko biet xái lau có khac phục loi dc k
27,Lâu lâu bị lỗi màn hình cảm ứng bị đơ phím điều hướng Màu màn hình ra ngoài trời lâu lâu tự ngả sang màu vàng. Ứng dụng danh bạ chưa thực sự hữu ích. Ko thể tìm kiếm danh bạ theo số đuôi điện thoại. Điểm cộng là pin sạc nhanh. Hiệu năng tốt trong tầm giá.
28,"chơi liên quân khá chán, combat fps toàn 3 40 trong khi mình đã từng sử dụng 710 chơi game rất ngon, chẳng hiểu 720g mà lại tệ như vậy, lỗi vặt thì siêu nhiều luôn, thỉnh thoảng lại đơ treo, chánnnnnn"
29,"Máy tốt pin trâu, cảm ổn, chiến game ngon lành. Chị Thủy Chi nhánh Bắc Quang Hàng Giang tư vấn nhiệt tình, vui tính."
30,"Mới mua sử dụng thấy ổn,mượt pin trâu.Sử dụng lâu dài mới nhận xét thêm dc ......"
31,"Ổn so với mức giá. ...............,.............................................."
32,máy sài khá ổn pin trâu chiến game mượt thiết kế sang đẹp sài đc 3 tuần cảm thấy rất hài lòng
33,Mua chưa tới 2 tuần mà xem video facebook nó mờ vậy rồi có đổi cái mới được không hay điện thoại khác chứ vãi quá
34,Điện thoại mới mau có cần sạc 8 tiếng không vậy nên sạc 3 lần đâu 8 tiếng không ..
35,"Máy mượt, pin trâu, camera tốt.Tuy nhiên máy thỉnh thoảng treo, màn hình ko đẹp, sóng điện thoại ko ổn, mic bé, loa nghe ko hay.Nói chung giá rẻ nên thế là tốt r =)))"
36,Tôi thề ko bao giờ xài hàng tàu 1 lần nào nữa. Loạn cảm ứng. Danh bạ đề xuất thì gõ cả tên cụ thể cũng nhảy 1 loạt tên có từ đó.
37,Máy mới mua 2tháng lỗi màng hình loạn cảm ứng gởi bảo hành xong 2tuần sao lại bị ..xong bảo hành hỡ máy lumlaaaa..mình mua đồ TGDD nhiều lần nhưng lần này mình rất không hài lòng
38,"Sau 2 tuần sử dụng thì có nhận xét như sau.. Tốt: pin trâu, sài mượt, máy không nóng, camera ổn, loa to, Nhược: hay bị lỗi sim, nghe gọi có lúc k nghe gì cả (mình nói họ nghe, họ nói k nghe) rất khó chịu, mong đc hổ trợ khắc phục"
39,"xài khá ngon, pin trâu, bắt wifi tốt, loa to. Nếu chỉ lướt face xem youtube hơn 1 ngày mới hết, nếu ai chơi game nhiều chắc cũng đc gần 1 ngày. đây là đánh giá sau 1 tuần sử dụng"
40,Sạc 100% pin rút ra chưa đầy 5p bay 10%pin. Mấy ngày đầu ko có. Mới mua chưa đầy 5 ngày
41,Máy em mới mua lúc đầu sử dụng chơi game thì mượt nhưng dc hơn chục ngày thì bắt đầu giật lag là sao z shop
42,Ngoài sóng bị chợp chờn lúc nghe gọi ra chẳng còn chê cái gì.mong cập nhật khắc phục dc.
43,Điện mới mua về còn dưới 20% đem sạc mà sạc 3 tiếng rồi mà chỉ có đc 60% vậy mà điện thoại có để sạc nhanh..
44,Mọi thứ bình thường mà có pin 5020mah mà mau hết hơn cả redmi8 loa thì mở lớn bị rè
45,"Lần đầu tiên mình dùng Xiaomi thì mình khá hài lòng với máy về nhiều mặt. Pin trâu mà sạc nhanh cực, camera ổn cả trước lẫn sau, MIUI 12 chạy ổn nma mình thích bản 11 hơn, hiệu năng tốt và 128GB dư dả cài app và game ^^ Điểm trừ là chụp đêm không được tốt (tham khảo cách cài google cam thì ổn hơn rất nhiều) và mic thu âm nghe cứ như bị bí vậy. Tuy mới mua không biết được bao lâu nhưng mà ""Của bền tại người"" ^^"
46,dt e bi loi.... người ta dt zalo luc được lúc không...dt zalo tới ko bao gi hết ... mở dt len thi thay cuoc gọi nhỡ.... đã thử nhỉu cach van ko het....
47,Muốn pin được lâu thì phải bật chế độ tiết kiệm pin chứ ko thì nhanh hết lắm và hay bị lỗi loa ngoài nhất là lúc cắm tai nghe vào nghe ko bằng oppo Samsung dc
48,Đt hơi to camera nó hơi lòi nhưng gắn ốp lưng là oke game thì ko biết ae chơi gì tui chơi LQ bật full hd fps cao đồ hoạ cao 1 trận nhanh thì 2% 1 trận thường thì 3% còn lâu xíu thì 4 tới 5% chụp ảnh camera trước đẹp khi có ánh sáng còn camera sau chưa chụp tấm nào nói chung cũng đáng đồng tiền 😂
49,"Máy mới mua chơi game 6 phút mất 1% pin tôi thấy khá là mau hết pin, đt không sử dụng 30 phút mất 3% pin"
